"","beer"
"1991-01-01",164
"1991-02-01",148
"1991-03-01",152
"1991-04-01",144
"1991-05-01",155
"1991-06-01",125
"1991-07-01",153
"1991-08-01",146
"1991-09-01",138
"1991-10-01",190
"1991-11-01",192
"1991-12-01",192
"1992-01-01",147
"1992-02-01",133
"1992-03-01",163
"1992-04-01",150
"1992-05-01",129
"1992-06-01",131
"1992-07-01",145
"1992-08-01",137
"1992-09-01",138
"1992-10-01",168
"1992-11-01",176
"1992-12-01",188
"1993-01-01",139
"1993-02-01",143
"1993-03-01",150
"1993-04-01",154
"1993-05-01",137
"1993-06-01",129
"1993-07-01",128
"1993-08-01",140
"1993-09-01",143
"1993-10-01",151
"1993-11-01",177
"1993-12-01",184
"1994-01-01",151
"1994-02-01",134
"1994-03-01",164
"1994-04-01",126
"1994-05-01",131
"1994-06-01",125
"1994-07-01",127
"1994-08-01",143
"1994-09-01",143
"1994-10-01",160
"1994-11-01",190
"1994-12-01",182
"1995-01-01",138
"1995-02-01",136
"1995-03-01",152
"1995-04-01",127
"1995-05-01",151
"1995-06-01",130
"1995-07-01",119
"1995-08-01",153
