"","bricksq"
"1956-01-01",189
"1956-04-01",204
"1956-07-01",208
"1956-10-01",197
"1957-01-01",187
"1957-04-01",214
"1957-07-01",227
"1957-10-01",223
"1958-01-01",199
"1958-04-01",229
"1958-07-01",249
"1958-10-01",234
"1959-01-01",208
"1959-04-01",253
"1959-07-01",267
"1959-10-01",255
"1960-01-01",242
"1960-04-01",268
"1960-07-01",290
"1960-10-01",277
"1961-01-01",241
"1961-04-01",253
"1961-07-01",265
"1961-10-01",236
"1962-01-01",229
"1962-04-01",265
"1962-07-01",275
"1962-10-01",258
"1963-01-01",231
"1963-04-01",263
"1963-07-01",308
"1963-10-01",313
"1964-01-01",293
"1964-04-01",328
"1964-07-01",349
"1964-10-01",340
"1965-01-01",309
"1965-04-01",349
"1965-07-01",366
"1965-10-01",340
"1966-01-01",302
"1966-04-01",350
"1966-07-01",362
"1966-10-01",337
"1967-01-01",326
"1967-04-01",358
"1967-07-01",359
"1967-10-01",357
"1968-01-01",341
"1968-04-01",380
"1968-07-01",404
"1968-10-01",409
"1969-01-01",383
"1969-04-01",417
"1969-07-01",454
"1969-10-01",428
"1970-01-01",386
"1970-04-01",428
"1970-07-01",434
"1970-10-01",417
"1971-01-01",385
"1971-04-01",433
"1971-07-01",453
"1971-10-01",436
"1972-01-01",399
"1972-04-01",461
"1972-07-01",476
"1972-10-01",477
"1973-01-01",452
"1973-04-01",461
"1973-07-01",534
"1973-10-01",516
"1974-01-01",478
"1974-04-01",526
"1974-07-01",518
"1974-10-01",417
"1975-01-01",340
"1975-04-01",437
"1975-07-01",459
"1975-10-01",449
"1976-01-01",424
"1976-04-01",501
"1976-07-01",540
"1976-10-01",533
"1977-01-01",457
"1977-04-01",513
"1977-07-01",522
"1977-10-01",478
"1978-01-01",421
"1978-04-01",487
"1978-07-01",470
"1978-10-01",482
"1979-01-01",458
"1979-04-01",526
"1979-07-01",573
"1979-10-01",563
"1980-01-01",513
"1980-04-01",551
"1980-07-01",589
"1980-10-01",564
"1981-01-01",519
"1981-04-01",581
"1981-07-01",581
"1981-10-01",578
"1982-01-01",500
"1982-04-01",560
"1982-07-01",512
"1982-10-01",412
"1983-01-01",303
"1983-04-01",409
"1983-07-01",420
"1983-10-01",413
"1984-01-01",400
"1984-04-01",469
"1984-07-01",482
"1984-10-01",484
"1985-01-01",447
"1985-04-01",507
"1985-07-01",533
"1985-10-01",503
"1986-01-01",443
"1986-04-01",503
"1986-07-01",505
"1986-10-01",443
"1987-01-01",415
"1987-04-01",485
"1987-07-01",495
"1987-10-01",458
"1988-01-01",427
"1988-04-01",519
"1988-07-01",555
"1988-10-01",539
"1989-01-01",511
"1989-04-01",572
"1989-07-01",570
"1989-10-01",526
"1990-01-01",472
"1990-04-01",524
"1990-07-01",497
"1990-10-01",460
"1991-01-01",373
"1991-04-01",436
"1991-07-01",424
"1991-10-01",430
"1992-01-01",387
"1992-04-01",413
"1992-07-01",451
"1992-10-01",420
"1993-01-01",394
"1993-04-01",462
"1993-07-01",476
"1993-10-01",443
"1994-01-01",421
"1994-04-01",472
"1994-07-01",494
